#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
white_council;White Council Member;Membre du Conseil Blanc;;;x
white_council_desc;This character is a member of the White Council, regarded among the wisest people of Middle Earth.;Ce personnage est un membre du Conseil Blanc, et protège la Terre du Milieu du Mal.;;;x
leader_whitecouncil;Head of the White Council;Chef du Conseil Blanc;;;x
leader_whitecouncil_desc;This character is the Head of the White Council, and protect the Middle-Earth from Evil.;Ce personnage est le Chef du Conseil Blanc, et protège la Terre du Milieu du Mal.;;;x
palantir;The Anor-Stone;La Pierre d'Anor;;;x
palantir_desc;This character holds one of the Palantíri, also known as Seeing-Stones or the Seven Stones. When one looks into a palantír, one can communicate with other such stones and anyone who might be looking into them. The Anor-stone was the Gondorian palantír kept at Minas Tirith, taking its name from the older title of that city, Minas Anor. It was kept an unused secret by the Ruling Stewards after the Fall of the Last King.;Ce personnage tient un des Palantíri, aussi connus commes les Pierres de Visions ou les Sept Pierres. Quand on regarde dans un Palantír, on peut communiquer avec une autre de ces pierres et tous ceux qui pourraient s'en servir. La Pierre d'Anor était l'un des Palantíri du Gondor, localisé à Minas Tirith, prenant son nom de l'ancienne dénomination de cette ville, Minas Anor. Il a été gardé en secret, inutilisé, par les Intendants du Gondor après la chute du dernier roi.;;;x
nenya;Nenya;Nenya;;;x
nenya_desc;This character holds Nenya, also named the White Ring, the Ring of Adamant, or the Ring of Water. It is one of the three Elven Rings of Power. It was forged of Mithril by Celebrimbor in the Second Age and given to Galadriel. Nenya's power is preservation, protection, and concealment from evil.;Nenya, l'Anneau d'Eau, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor et détenu par Galadriel.;;;x
narya;Narya;Narya;;;x
narya_desc;This character holds Narya, also named the Ring of Fire or Red Ring. It is one of the three Elven Rings of Power. It was forged by Celebrimbor for Gil-Galad in the Second Age. It has the power to inspire others to resist tyranny, domination and despair, as well as having the power to hide the wielder from remote observation and giving resistance to the weariness of time.;Narya, l'Anneau de Feu, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor pour Gil-Galad, qui le donna par la suite à Cirdan, le charpentier. Gandalf se le verra offrir par ce dernier à son arrivée sur la Terre du Milieu.;;;x
vilya;Vilya;Vilya;;;x
vilya_desc;This character holds Vilya, also named the Ring of Sapphire, the Blue Ring, or the Ring of Air. It is one of the three Elven Rings of Power, and mightiest of the Three. It possesses the power of controlling natural elements and to heal and to preserve life.;Nenya, l'Anneau de Mithril, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor pour Gil-Galad. Elrond en pris possession à la mort de ce dernier.;;;x
annunimas;Scepter of Annúminas;Sceptre d'Annunimas;;;x
annunimas_desc;This character holds the scepter of Annunimas, the symbol of royalty for the Kings of Arnor. The Sceptre of Annúminas was a silver rod originally borne by the Lords of Andúnië in Númenor, and it was patterned after the sceptre of the Kings of Númenor.;Ce personnage brandis le Sceptre d'Annunimas, symbole du pouvoir des Rois d'Arnor.;;;x
ring;The One Ring;Anneau de Pouvoir;;;x
ring_desc;This character holds the One Ring, the greatest of the Rings of Power and the most powerful artifact in Middle-Earth. The One Ring was forged by Sauron in the fires of Orodruin during the Second Age. The Ring's primary power is the control over the other Rings and domination of the wills of their users. A mortal wearing the Ring is made invisible except to those able to perceive the non-physical world. The Ring also extends a mortal possessor's life indefinitely by preventing natural aging. It is said that Sauron poured his very soul into the Ring, using it as a conduit for his power, and that only it's destruction can destroy him forever. When placed in fire, the Ring reveals an Elvish poem engraved in fire  One ring to rule them, one to find them, one to to bring them all, and in the darkness bind them.;L'Anneau de Pouvoir, forgé par Sauron dans les flammes de la Montagne du Destin, mais qu'il perdit lors de la Guerre de la Dernière Alliance. Perdu après la mort d'Isildur aux Champs-aux-Iris, il fut retrouvé par un être du nom de Gollum.;;;x
barahir;Ring of Barahir;Anneau de Barahir;;;x
barahir_desc;This character holds the Ring of Barahir; it is an ornate silver ring given to Barahir by the Elven Lord Finrod Felagund, in reward for saving his life in Dagor Bragollach. It was a sign of eternal friendship between Finrod and the House of Barahir. The ring has the likeliness of two serpents intertwined with emerald eyes. It was held by Finrod, Barahir, Beren, Dior, Elwing, Elros, and then by the Kings of Numenor, the Princes of Andunië. It is now a symbol of the heritage of the house of Isildur.;L'Anneau de Barahir fur forgé jadis par les Noldor en Valinor. Porté par Finarfin, il passa dans les mains d'augustes personnages : Finrod, Beren, Barahir, Dior, Elros, les premiers Rois de Numénor, les Princes d'Andunië. Il est aujourd'hui l'héritage de la maison d'Isildur.;;x
elessar;Elessar;l'Elessar;;;x
elessar_desc;This character holds the Elessar, also named Elfstone,  it is an Elven green gem set on a silver eagle-shaped brooch. It had the light of the Sun within it and those who looked through it saw everything that was aged and withered as young once more.;L'Elessar, deuxième du nom, est un bijou en forme d'aigle, serti d'une grande pierre verte claire, fabriqué pour Galadriel. Elle le donna à sa fille Celebrian, qui le céda à sa propre fille Arwen. Cette dernière en fit don en gage d'amour à Aragorn.;;;x
arkenstone;Arkenstone;L'Arkenstone;;;x
arkenstone_desc;This character holds the Arkenstone, also known as the Heart of the Mountain,  it is a wondrous gem found in the deeps of Ereborby Thorin's ancestor Thrain I and shaped by the Dwarves as a jewel. It's one of the most important treasures among Dwarves.;L'Arkenstone est une pierre d'une beauté incomparable, trouvée par Thrain I dans les profondeurs d'Erebor.;;;x
horngondor;Horn of Gondor;Le Cor du Gondor;;;x
horngondor_desc;This character holds the Horn of Gondor. It is a large bone war-horn tipped with silver engraved in ancient characters.;Ce personnage possède le Cor du Gondor.;;;x
stewardscept;Scepter of the Steward;Le Sceptre de l'Intendant;;;x
stewardscept_desc;This character holds the Scepter of the Steward. The emblem of the power of Gondor's Stewards.;Ce personnage possède le Sceptre des Intendants du Gondor, une simple baguette blanche, symbole de leur pouvoir dans le Royaume du Sud.;;;x
heir_of_isildur;Heir of Isildur;Héritier d'Isildur;;;x
heir_of_isildur_desc;This character is the true heir of Isildur, the last King of Arnor and Gondor, dead through the Gladden Fields in 3209 of the Second Age.;Ce personnage est le véritable héritier d'Isildur.;;;x
ringbearer1;Former Ring-bearer;Ancien Porteur de l'Anneau;;;x
ringbearer1_desc;The 'Ring-bearer' is a title given to those who, at some point in their lives, carried or wore the One Ring. The life of this Ring-bearer is now happier and less troubled since the destruction of the One Ring.;Les Porteurs de l'Anneau ont, à un moment de leurs vies, tenus l'Anneau Unique entre leurs mains. La vie du Porteur est maintenant plus joyeuse depuis que l'Anneau a été détruit.;;;x
ringbearer2;Ring-bearer;Porteur de l'Anneau;;;x
ringbearer2_desc;The 'Ring-bearer' is a title used for those individuals who, at some point in their lives, carried or wore the One Ring. The life of this Ring-bearer is still tormented and afflicted since the Ring has not been destroyed yet.;Les Porteurs de l'Anneau ont, à un moment de leurs vies, tenus l'Anneau Unique entre leurs mains. Le Porteur est encore tourmenté par l'Anneau, qui n'est pas détruit.;;;x
sailed_west;Sailed to Valinor;A Navigué vers Valinor;;;x
sailed_west_desc;This character left Middle-Earth and sailed to Valinor, the realm of the Valar in Aman, also known as the Undying Lands.;Ce personnage a quitté la Terre du Milieu pour rejoindre Valinor, le royaume des Valar en Aman, connu également sous le nom de Terres Immortelles.;;;x
vow_of_cerin_amroth;The Vow of Cerin Amroth;Le Serment de Cerin Amroth;;;x
vow_of_cerin_amroth_desc;This character has promised to marry Aragorn/Arwen, and can not marry other characters unless he broke the oath.;Ce personnage a promis de se marier avec Aragorn/Arwen, et ne peut pas épouser d'autres personnages, à moins de briser le serment.;;;x
journey_to_valinor;Journey to Valinor;A Navigué vers Valinor;;;x
journey_to_valinor_desc;This character left Middle-Earth and sailed to Valinor, the realm of the Valar in Aman, also known as the Undying Lands.;Ce personnage a quitté la Terre du Milieu pour rejoindre Valinor, le royaume des Valar en Aman, connu également sous le nom de Terres Immortelles.;;;x
worship_balrog;Servant of the Flame;Serviteur du Feu;;;x
worship_balrog_desc;The Servants of the Flame are an Order of superstitious Orcish mages and shamans in Moria who believe they can appease the scorn of the Balrog by bringing him cruel sacrifices.;Les Serviteurs du Feu sont un Ordre de Mages et Shamans Orques vivant dans la Moria, et qui croient qu'ils peuvent apaiser la fureur du Balrog en lui offrant de cruels sacrifices.;;;x
ship_king;Ship-King;Roi-Navigateur;;;x
ship_king_desc;The Ship-kings did much to expand Gondor's naval and military might. Between them, they enormously extended the South-kingdom's control over the southern lands of Middle-earth, including the lands west of the Mouths of Anduin, and as far south as Umbar and the Harad. Their influence was such that, at the end of the reign of Hyarmendacil I, Gondor had reached a peak of strength and power that it would never again surpass.;Les Rois-Navigateurs ont fait beaucoup pour développer la puissance navale et militaire du Gondor. Ils ont étendu considérablement le contrôle du Royaume du Sud sur les terres du sud de la Terre du Milieu, y compris les terres à l'ouest des Bouches de l'Anduin, et aussi loin au sud que Umbar et le Harad. Leur influence était telle que, à la fin du règne de Hyarmendacil I, Gondor avait atteint un pic de force et de puissance qu'il ne serait plus jamais en mesure de dépasser.;;;x
hyarmendacil;Hyarmendacil;Hyarmendacil;;;x
hyarmendacil_desc;Hyarmendacil means South-Victor. His character won a war against the men of Harad, and has conquered a lot of new lands for Gondor at South.;Hyarmendacil signifie Victorieux du Sud. Ce personnage a remporté une guerre contre les Hommes de Harad, et a annexé de larges terres du Sud au Royaume du Gondor.;;;x
romendacil;Rómendacil;Rómendacil;;;x
romendacil_desc;Rómendacil means East-Victor. This character won a war against the peoples of Rhun, destroying this treath at East of Gondor.;Rómendacil signifie Victorieux de l'Est. Ce personnage a vaincu les légions de Rhûn, et a mis fin à la menace qu'ils faisaient peser sur l'Est du Royaume.;;;x
umbardacil;Umbardacil;Umbardacil;;;x
umbardacil_desc;Umbardacil means Umbar-Victor. This character won a war against the corsairs of Umbar, and conquered these lands for the glory of Gondor.;Umbardacil signifie Victorieux d'Umbar. Ce personnage a vaincu les corsaires d'Umbar, et a annexé ce territoire pour la gloire du Gondor.;;;x
palantir_ithil;The Ithil-Stone;La Pierre d'Ithil;;;x
palantir_ithil_desc;This character holds one of the Palantíri, also known as Seeing-Stones or the Seven Stones. When one looks into a palantír, one can communicate with other such stones and anyone who might be looking into them. The Ithil-stone was the palantír that stood in Isildur's ancient fortress of Minas Ithil placed there soon after the founding of the city.;Ce personnage tient un des Palantíri, aussi connus commes les Pierres de Visions ou les Sept Pierres. Quand on regarde dans un Palantír, on peut communiquer avec une autre de ces pierres et tous ceux qui pourraient s'en servir. La Pierre d'Ithil était le palantír qui se trouvait dans l'ancienne forteresse d'Isildur, à Minas Ithil, et placé là peu de temps après la fondation de la ville.;;;x
palantir_osgiliath;The Osgiliath-Stone;La Pierre d'Osgiliath;;;x
palantir_osgiliath_desc;The Stone of Osgiliath, the greatest of the seven palantíri of Middle-earth, was the Stone that stood in Osgiliath, the ancient capital of Gondor. For 1,500 years or more, it was held beneath the Dome of Stars that gave the city its name. While most of the palantíri were small and portable, the Stone of Osgiliath was much larger, and could not be lifted by a Man.;La Pierre d'Osgiliath, le plus grand des sept palantíri la Terre du Milieu, était la pierre qui se trouvait dans Osgiliath, l'ancienne capitale de Gondor. Pendant 1500 ans ou plus, la pierre est restée placée sous le dôme des étoiles qui a donné à la ville son nom. Alors que la plupart des palantíri étaient de petite taille et portable, la Pierre d'Osgiliath était beaucoup plus grande, et ne pouvait être portée par un seul homme.;;;x
palantir_elostirion;The Elendil-Stone;La Pierre d'Elendil;;;x
palantir_elostirion_desc;The Palantír of Elostirion, also known as the Elendil Stone was one of the Palantíri brought by the Faithful from Númenor. It was stored in the tower Elostirion on the Emyn Beraid by Elendil, and in later years was guarded by Círdan and the Elves of Lindon. The stone was aligned westwards towards the Master-stone in the Tower of Avallonë, along the length of the Straight Road. Because of this, it could not communicate with the other six of Middle-earth. Only Elendil was able to use it to look west across the Sea and see the Undying Lands. Elendil also tried to see the fallen Númenor with the stone but failed.;Le Palantir d'Elostirion, également connu sous le nom Pierre d'Elendil était l'un des Palantíri apportée par les fidèles de Númenor. Il a été placé dans la tour d'Elostirion sur les Emyn Beraid par Elendil, et plus tard a été gardé par Círdan et les Elfes de Lindon. La pierre était alignée à l'ouest vers la maître-pierre dans la tour de Avallonë. De ce fait, il ne pouvait pas communiquer avec les six autres de la Terre du Milieu. Seulement Elendil a pu l'utiliser pour regarder à l'ouest à travers la mer et voir les Terres Immortelles. Elendil a également essayé de voir le Númenor tombé avec la pierre, mais a échoué.;;;x
palantir_sul;The Amon Sûl-stone;La Pierre d'Amon Sûl;;;x
palantir_sul_desc;The Amon Sûl-stone was a palantír that rested in the Arnorian Tower of Amon Sûl. Like the other seeing-stones it was a deep black crystal, spherical, and perfectly smooth. However, the stones were not all alike and the Amon Sûl-stone, like the Osgiliath-stone, was too large to be lifted by one man.;La Pierre d'Amon Sûl était un Palantír qui était gardé dans la Tour d'Amon Sul, en Arnor. Comme les autres Pierres de Visions, c'était un cristal d'un noir profond, de forme sphérique, et parfaitement lisse. Cependant, les pierres ne sont pas toutes identiques et la Pierre d'Amon Sul, comme celle d'Osgiliath, était trop grande pour être portée par un seul homme.;;;x
palantir_annuminas;The Stone of Annúminas;La Pierre d'Annúminas;;;x
palantir_annuminas_desc;The Stone of Annúminas was one of the three palantíri of Arnor, the North-kingdom of the Dúnedain. Though it was counted one of the lesser of the seven Seeing-stones brought into Middle-earth, it was nonetheless the one used most often by the King in the north, and was preserved at Annúminas through the history of the realms of Arnor and its successor Arthedain.;La Pierre d'Annúminas était l'un des trois Palantíri d'Arnor, le Royaume du Nord des Dúnedain. Bien qu'elle ait été considérée comme l'une des moins importantes des sept pierres amenées en Terre du Milieu, elle n'en est pas moins le plus souvent utilisée par le Roi du Nord, et a été conservée à Annúminas à travers l'histoire des royaumes d'Arnor et d'Arthedain.;;;x
palantir_orthanc;The Stone of Orthanc;La Pierre d'Orthanc;;;x
palantir_orthanc_desc;The Stone of Orthanc was one of the seven Palantíri brought to Middle-earth by Elendil and his sons at the end of the Second Age. The Exiles of Númenor built the Tower of Orthanc on what were then the northern borders of the realm of Gondor, and set the palantír in the unbreachable fortress.;La pierre d'Orthanc était l'un des sept Palantíri apporté en Terre du Milieu par Elendil et ses fils à la fin du Second Age. Les exilés de Númenor construisirent la tour d'Orthanc sur ce qui était alors les frontières septentrionales du royaume de Gondor, et gardèrent le Palantír dans cette forteresse infranchissable.;;;x
dwarf_ring;Dwarf-Ring;Anneau des Nains;;;x
dwarf_ring_desc;This character carries one of the Rings of the Dwarves, given by Sauron to the Dwarf-Lords during the Second Age.;Ce personnage porte l'un des Anneaux des Nains, donné par Sauron aux Seigneurs Nains, durant le Second Âge. ;;;x
durin_ring;Ring of Durin;Anneau de Durin;;;x
durin_ring_desc;This character holds the Ring of Durin, the most powerful of the Seven Rings of the Dwarves, once offered to Durin III by Celebrimbor himself.;Ce personnage porte l'Anneau de Durin, le plus puissant des Sept Anneaux des Nains, offert jadis à Durin III par Celebrimbor lui-même. ;;;x
ring_saruman;Ring of Saruman;Anneau de Saruman;;;x
ring_saruman_desc;"Saruman, in his desire to imitate Sauron, attemped to forge for himself a Ring of Power. This he wore during the War of the Ring which he revealed when he called himself ""Saruman the Ring-maker"". He had great knowledge and lore of the magic rings created by Sauron and by the Elven-smiths, though at this time the full art of ring-making was lost and known only to Sauron and so Saruman's knowledge of the craft was incomplete. The Ring of Saruman is considered as a Lesser Ring.";"Saruman, dans son désir d'imiter Sauron, a tenté de forger lui-même un anneau de pouvoir. C'est uniquement lors de la Guerre de l'Anneau qu'il le révèle, s'appelant lui-même ""Saruman le Faiseur-d'Anneaux"". Il avait une grande connaissance des traditions des anneaux magiques créés par Sauron et les forgerons Elfes, mais l'art de cette époque a été perdu des elfes et est connu seulement de Sauron. Par conséquent, les connaissances de Saroumane était incomplète. L'Anneau de Saruman est considéré comme un Anneau Mineur.";;;x
lesser_ring;Lesser Ring;Anneau Mineur;;;x
lesser_ring_desc;The Lesser Rings were forged by the elves as essays in the craft of ring making. These rings were made sometime between S.A. 1200, when Sauron came in disguise to Eregion, and 1500, when they began crafting the greater Rings of Power.;Les Anneaux Mineurs ont été forgés par les elfes, essayant de réaliser des Anneaux de Pouvoirs. Ces anneaux ont été faits autrefois entre SA 1200, quand Sauron est venu déguisé en Eregion, et 1500, quand ils ont commencé l'élaboration des Anneaux de Pouvoir.;;;x
dwarf_necklace;Dwarf Necklace;Collier Nain;;;x
dwarf_necklace_desc;This Dwarf Necklace was made by a dwarf artisan, in the heart of a mountain, with several gems. ;Ce Collier Nain a été réalisé par un artisan nain, dans le cœur d'une montagne, et est serti par de nombreuses pierres précieuses.;;;x
elf_necklace;Elf Necklace;Collier Elfe;;;x
elf_necklace_desc;This Elf Necklace was made by an elf artisan, and was made with many gems. ;Ce colllier elfe a été réalisé par un artisan elfe, et est serti de nombreuses pierres précieuses.;;;x
dwarf_jewel;Polished Jewel;Joyau Façonné;;;x
dwarf_jewel_desc;This Gemstone was polished by a dwarf artisan, in the heart of a moutain. The brilliance of this stone is reknowned in all Middle-Earth.;Cette pierre précieuse a été façonnée par un artisan nain, dans le cœur d'une montagne. Son éclat est réputé dans toute la Terre-du-Milieu.;;;x
elf_brooch;Elf Brooch;Broche Elfe;;;x
elf_brooch_desc;This Brooch was made with a beautiful gemstone by an elf artisan, with the ancient art of the Noldor.;Cette broche a été réalisée avec une sompteuse pierre précieuse par un artisan elfe, et avec tout l'art des Noldor.;;;x
